0	883556	1770
1	542133	2177
2	431222	2602
3	372355	3002
4	338962	3423
5	313976	3813
6	296523	4210
7	283373	4607
8	272184	4989
9	263270	5372
10	255924	5756
11	250236	6153
12	245410	6550
13	241615	6960
14	237877	7357
15	234143	7740
16	230756	8121
17	227798	8507
18	225333	8900
19	222785	9282
20	220808	9680
21	218936	10076
22	218270	10524
23	216402	10911
24	214762	11303
25	213293	11699
26	211899	12095
27	210704	12499
28	209470	12897
29	208093	13282
30	207011	13683
31	206006	14085
32	204895	14478
33	204478	14919
34	203745	15335
35	203086	15756
36	202825	16208
37	202588	16663
38	202068	17094
39	201368	17510
40	200586	17917
41	200850	18418
42	201918	18998
43	201458	19438
44	200648	19844
45	199783	20242
46	199328	20680
47	199187	21152
48	198454	21561
49	197659	21962
50	197077	22385
51	196584	22817
52	195790	23214
53	195206	23634
54	194375	24023
55	193708	24431
56	193021	24835
57	192395	25246
58	191733	25651
59	191184	26070
60	190420	26459
61	189731	26857
62	190248	27427
63	190416	27951
64	190246	28427
65	189710	28849
66	189219	29278
67	188749	29710
68	188202	30129
69	188462	30679
70	187927	31102
71	187597	31558
72	187057	31979
73	186614	32416
74	186162	32852
75	185837	33310
76	185257	33722
77	185186	34228
78	184570	34634
79	183933	35034
80	183373	35449
81	182752	35850
82	182381	36301
83	181748	36699
84	181110	37094
85	180543	37504
86	179946	37906
87	179333	38304
88	178670	38690
89	178164	39109
90	177562	39506
91	177004	39912
92	176407	40309
93	175757	40692
94	175249	41107
95	175235	41640
96	175188	42167
97	174638	42573
98	174137	42991
99	173729	43432
100	173269	43860
101	172885	44307
102	172498	44753
103	171953	45159
104	171400	45562
105	171119	46037
106	170640	46459
107	170130	46872
108	169606	47281
109	169138	47705
110	168572	48101
111	168032	48504
112	167517	48913
113	166974	49313
114	166989	49880
115	166637	50338
116	166151	50756
117	165723	51192
118	165235	51608
119	164721	52017
120	164185	52418
121	163772	52857
122	163300	53278
123	162813	53693
124	162342	54114
125	161846	54525
126	161329	54929
127	160827	55338
128	160306	55740
129	159793	56143
130	159291	56550
131	158752	56943
132	158207	57334
133	157669	57725
134	157231	58153
135	156752	58566
136	156278	58981
137	155769	59381
138	155270	59785
139	154769	60187
140	154282	60595
141	153780	60996
142	153351	61426
143	152922	61856
144	152476	62279
145	152134	62744
146	151681	63164
147	151217	63580
148	150726	63983
149	150325	64425
150	150152	64965
151	149944	65493
152	149482	65910
153	149026	66329
154	148546	66738
155	148144	67181
156	147962	67726
157	147524	68154
158	147118	68597
159	147083	69215
160	146670	69657
161	146274	70108
162	145801	70521
163	145307	70923
164	145104	71469
165	144825	71979
166	144378	72406
167	143931	72832
168	143422	73227
169	142950	73641
170	142471	74050
171	142002	74464
172	141544	74884
173	141109	75315
174	140617	75716
175	140143	76127
176	139659	76531
177	139177	76936
178	138690	77338
179	138373	77834
180	137855	78218
181	137369	78620
182	136888	79024
183	136389	79416
184	135920	79826
185	135511	80271
186	135054	80687
187	134607	81109
188	134126	81511
189	133641	81909
190	133185	82325
191	132680	82709
192	132199	83109
193	131706	83500
194	131264	83923
195	130798	84330
196	130348	84748
197	129904	85169
198	129421	85564
199	128990	85993
200	128535	86406
201	128065	86809
202	127612	87223
203	127141	87624
204	126681	88032
205	126195	88422
206	125765	88851
207	125267	89231
208	124794	89628
209	124348	90045
210	123894	90455
211	123431	90859
212	122973	91266
213	122585	91724
214	122159	92155
215	121766	92611
216	121375	93069
217	120952	93502
218	120529	93936
219	120080	94348
220	119642	94770
221	119253	95230
222	118788	95631
223	118310	96020
224	117838	96413
225	117366	96805
226	116899	97202
227	116422	97589
228	115946	97976
229	115484	98376
230	115028	98779
231	114552	99165
232	114094	99565
233	113628	99958
234	113167	100355
235	112703	100750
236	112227	101132
237	111768	101530
238	111306	101923
239	110841	102315
240	110383	102712
241	109935	103118
242	109476	103512
243	109018	103907
244	108564	104306
245	108098	104694
246	107626	105074
247	107169	105468
248	106717	105867
249	106257	106257
250	105805	106655
251	105348	107047
252	104884	107432
253	104418	107814
254	103967	108211
255	103518	108609
256	103055	108993
257	102591	109374
258	102139	109768
259	101692	110166
260	101253	110574
261	100793	110957
262	100340	111348
263	99892	111744
264	99432	112125
265	98978	112514
266	98538	112917
267	98095	113317
268	97651	113715
269	97204	114109
270	96751	114495
271	96303	114888
272	95860	115285
273	95418	115684
274	94976	116082
275	94526	116469
276	94086	116869
277	93646	117269
278	93202	117663
279	92763	118062
280	92315	118450
281	91869	118840
282	91430	119238
283	90989	119633
284	90555	120038
285	90150	120481
286	89711	120879
287	89261	121261
288	88824	121660
289	88386	122057
290	87949	122455
291	87508	122848
292	87066	123238
293	86620	123622
