iter	Logloss
416	0.4421355345
417	0.4420383069
418	0.4419447938
419	0.4418960505
420	0.4417814063
421	0.4416859044
422	0.4416250021
423	0.4415242518
424	0.4414270849
425	0.4413449441
426	0.441227902
427	0.4411508122
428	0.4410429251
429	0.4409724966
430	0.440896776
431	0.4407441828
432	0.4406991965
433	0.4406124723
434	0.4405462219
435	0.4404776144
436	0.4403523581
437	0.4402879085
438	0.4402205839
439	0.4401260828
440	0.4400595
441	0.4399776451
442	0.4398944659
443	0.4397889094
444	0.4397035026
445	0.4396230804
446	0.4395487052
447	0.4394169649
448	0.4393200857
449	0.4392731958
450	0.4392132584
451	0.4391283888
452	0.4390042658
453	0.4389404387
454	0.4387799952
455	0.4386843431
456	0.4385813651
457	0.4385140977
458	0.4384283424
459	0.4383188632
460	0.4382686788
461	0.4381624479
462	0.4380585992
463	0.4379631313
464	0.4378525291
465	0.4378128013
466	0.4377359658
467	0.4376975902
468	0.4376499132
469	0.4376060813
470	0.4375435252
471	0.4374463486
472	0.4373387288
473	0.4372527386
474	0.4372266375
475	0.4371025405
476	0.4370154015
477	0.4369332116
478	0.4368488734
479	0.4367086171
480	0.4366223754
481	0.4365412489
482	0.4364552729
483	0.4363451947
484	0.4362811454
485	0.4361799896
486	0.4361329735
487	0.436061432
488	0.4359781919
489	0.4358882717
490	0.4358144933
491	0.4357250601
492	0.4356763693
493	0.4355927582
494	0.4355055633
495	0.4354217899
496	0.4353506782
497	0.4352816472
498	0.4351486323
499	0.4350323699
